# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000  1.000000
1305031102.211214 -0.001247  0.009105  0.012842 -0.001766 -0.003548 -0.001203  0.999991
1305031102.275326 -0.002199  0.008312  0.039648 -0.013906 -0.009703 -0.000417  0.999856
1305031102.311267 -0.000361  0.006727  0.056155 -0.019092 -0.012772  0.000982  0.999736
1305031102.343233 -0.001062  0.007657  0.067272 -0.021048 -0.014544  0.002729  0.999669
1305031102.375329 -0.001074  0.008673  0.079874 -0.023261 -0.016670  0.003197  0.999585
1305031102.411258 -0.005367  0.011822  0.088152 -0.024499 -0.018023  0.001691  0.999536
1305031102.443271 -0.007113  0.018226  0.098069 -0.028326 -0.020986  0.000933  0.999378
1305031102.475318 -0.006091  0.018414  0.113926 -0.035651 -0.023736  0.000359  0.999082
1305031102.511219 -0.005737  0.019180  0.128024 -0.040579 -0.023118 -0.001044  0.998908
1305031102.575286 -0.006321  0.017600  0.157996 -0.047294 -0.020729 -0.004369  0.998656
1305031102.611233 -0.008679  0.016609  0.169989 -0.044618 -0.017311 -0.003365  0.998848
1305031102.675285 -0.014008  0.025351  0.188629 -0.042955 -0.016355 -0.001923  0.998941
1305031102.711263 -0.014494  0.025295  0.202385 -0.044054 -0.016731 -0.000972  0.998889
1305031102.743234 -0.015290  0.032582  0.213494 -0.043526 -0.016715  0.000222  0.998912
1305031102.775472 -0.013000  0.033898  0.230364 -0.045859 -0.015928 -0.001441  0.998820
1305031102.811232 -0.014579  0.037430  0.241781 -0.046595 -0.012351 -0.002696  0.998834
1305031102.843290 -0.013827  0.038969  0.257454 -0.048525 -0.009424 -0.003435  0.998772
1305031102.875363 -0.017112  0.040927  0.266989 -0.047981 -0.005395 -0.005763  0.998817
1305031102.911185 -0.019051  0.043319  0.277589 -0.047607 -0.003397 -0.007567  0.998832
1305031102.975203 -0.029449  0.046340  0.292592 -0.049287 -0.006406 -0.008640  0.998727
1305031103.011215 -0.028023  0.048944  0.305155 -0.050792 -0.013814 -0.005775  0.998597
1305031103.043227 -0.029075  0.052344  0.316778 -0.052375 -0.019701 -0.003271  0.998428
1305031103.075319 -0.025081  0.054403  0.332366 -0.052066 -0.024693 -0.000450  0.998338
1305031103.111240 -0.026305  0.060962  0.338111 -0.049636 -0.023668 -0.000091  0.998487
1305031103.143318 -0.026048  0.063309  0.349549 -0.051506 -0.024092  0.001477  0.998381
1305031103.175452 -0.027277  0.068063  0.355433 -0.051457 -0.021909  0.000960  0.998434
1305031103.243216 -0.029052  0.075080  0.369400 -0.063467 -0.021031  0.004903  0.997750
1305031103.275370 -0.034054  0.074135  0.371497 -0.074181 -0.021599  0.008573  0.996974
1305031103.311210 -0.032160  0.069938  0.380868 -0.082307 -0.032371  0.009657  0.996034
1305031103.343223 -0.026298  0.072833  0.387449 -0.082053 -0.039258  0.009402  0.995810
1305031103.375327 -0.025134  0.072254  0.389249 -0.085776 -0.038237  0.011366  0.995516
1305031103.411260 -0.025844  0.067092  0.387633 -0.089025 -0.037334  0.013068  0.995244
1305031103.443280 -0.027410  0.065107  0.381978 -0.088928 -0.038840  0.012689  0.995200
1305031103.475274 -0.026977  0.062226  0.379682 -0.088670 -0.042028  0.011350  0.995109
1305031103.511333 -0.026270  0.058467  0.374355 -0.086096 -0.044035  0.009337  0.995269
1305031103.543444 -0.025595  0.054088  0.367295 -0.082031 -0.045619  0.007814  0.995554
1305031103.575474 -0.026371  0.050484  0.355221 -0.077739 -0.046412  0.008045  0.995860
1305031103.611223 -0.026483  0.045983  0.345133 -0.075644 -0.049454  0.009944  0.995858
1305031103.643445 -0.025393  0.041703  0.334817 -0.072832 -0.053747  0.010609  0.995838
1305031103.675523 -0.022744  0.039366  0.325240 -0.069459 -0.057123  0.011145  0.995886
1305031103.711610 -0.020408  0.035837  0.314059 -0.066926 -0.058590  0.011062  0.995975
1305031103.743326 -0.018676  0.029822  0.302787 -0.064916 -0.058575  0.010248  0.996117
1305031103.775342 -0.018060  0.027911  0.287256 -0.061016 -0.057721  0.007010  0.996442
1305031103.811242 -0.017019  0.025385  0.272081 -0.060984 -0.056497  0.003251  0.996533
1305031103.843251 -0.019388  0.023680  0.255066 -0.063828 -0.054957  0.000425  0.996446
1305031103.875361 -0.018807  0.012184  0.244285 -0.072427 -0.058257 -0.002201  0.995668
1305031103.911221 -0.016636  0.005805  0.232337 -0.071628 -0.062943 -0.003762  0.995436
1305031103.943211 -0.015048  0.002717  0.217736 -0.069357 -0.065669 -0.004538  0.995418
1305031103.975373 -0.012199 -0.002495  0.205695 -0.067778 -0.068211 -0.005348  0.995352
1305031104.011232 -0.007466 -0.006695  0.196627 -0.063261 -0.069844 -0.006327  0.995530
