# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1305031102.175304 0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000  1.000000
1305031102.211214 -0.001271  0.009213  0.012829 -0.001836 -0.003521 -0.001032  0.999992
1305031102.275326 -0.002200  0.008512  0.039896 -0.013940 -0.009725 -0.000128  0.999856
1305031102.311267 -0.001200  0.007644  0.056238 -0.018676 -0.012510  0.000639  0.999747
1305031102.343233 -0.001597  0.009175  0.067272 -0.020421 -0.014315  0.002381  0.999686
1305031102.375329 -0.002185  0.010853  0.080296 -0.022395 -0.016307  0.002863  0.999612
1305031102.411258 -0.006076  0.014331  0.088872 -0.023492 -0.017829  0.001660  0.999564
1305031102.443271 -0.007239  0.021922  0.100242 -0.026934 -0.021196  0.001041  0.999412
1305031102.475318 -0.006681  0.020682  0.115299 -0.034801 -0.023722  0.000411  0.999113
1305031102.511219 -0.004816  0.022289  0.130769 -0.039465 -0.023845 -0.000718  0.998936
1305031102.575286 -0.006404  0.021573  0.160345 -0.045574 -0.020941 -0.004442  0.998732
1305031102.611233 -0.009392  0.020936  0.172556 -0.042805 -0.017334 -0.003402  0.998927
1305031102.675285 -0.014466  0.029541  0.192100 -0.041093 -0.016571 -0.002018  0.999016
1305031102.711263 -0.013972  0.028696  0.205676 -0.042644 -0.017318 -0.000696  0.998940
1305031102.743234 -0.015514  0.035580  0.216918 -0.042200 -0.017082  0.000200  0.998963
1305031102.775472 -0.014446  0.036700  0.232522 -0.044521 -0.015632 -0.001544  0.998885
1305031102.811232 -0.014972  0.041619  0.245805 -0.044673 -0.012730 -0.002714  0.998917
1305031102.843290 -0.014261  0.043355  0.261600 -0.046524 -0.009835 -0.003297  0.998863
1305031102.875363 -0.017213  0.046340  0.272100 -0.045589 -0.006044 -0.005171  0.998929
1305031102.911185 -0.019604  0.048694  0.282690 -0.045155 -0.003813 -0.006974  0.998948
1305031102.975203 -0.030339  0.051573  0.298926 -0.046506 -0.006820 -0.008863  0.998855
1305031103.011215 -0.028172  0.053406  0.310805 -0.048395 -0.014469 -0.005717  0.998707
1305031103.043227 -0.029402  0.057238  0.322322 -0.049826 -0.020320 -0.003135  0.998546
1305031103.075319 -0.026115  0.058462  0.336865 -0.049722 -0.024846 -0.000722  0.998454
1305031103.111240 -0.028246  0.065422  0.343576 -0.047037 -0.023534 -0.000621  0.998616
1305031103.143318 -0.028895  0.067736  0.354663 -0.048876 -0.023534  0.000961  0.998527
1305031103.175452 -0.029328  0.072377  0.360864 -0.049134 -0.021847  0.001368  0.998552
1305031103.243216 -0.030500  0.079087  0.375347 -0.061308 -0.021378  0.005410  0.997875
1305031103.275370 -0.036575  0.077840  0.376253 -0.071920 -0.021309  0.008536  0.997146
1305031103.311210 -0.034838  0.074269  0.384991 -0.079775 -0.032020  0.009986  0.996248
1305031103.343223 -0.030325  0.077221  0.391350 -0.079310 -0.038097  0.009323  0.996078
1305031103.375327 -0.030460  0.076422  0.392131 -0.083073 -0.036152  0.011068  0.995826
1305031103.411260 -0.030621  0.072541  0.390797 -0.085581 -0.035664  0.012599  0.995613
1305031103.443280 -0.032011  0.071128  0.385836 -0.085200 -0.037484  0.012440  0.995581
1305031103.475274 -0.032060  0.068659  0.383038 -0.084558 -0.040326  0.010722  0.995544
1305031103.511333 -0.030688  0.064664  0.377745 -0.082203 -0.042639  0.008860  0.995664
1305031103.543444 -0.029899  0.061087  0.370144 -0.077792 -0.044142  0.007651  0.995962
1305031103.575474 -0.031085  0.057440  0.358070 -0.073565 -0.044586  0.007206  0.996267
1305031103.611223 -0.030139  0.053077  0.348140 -0.071529 -0.048217  0.009694  0.996225
1305031103.643445 -0.029643  0.048969  0.337303 -0.068630 -0.052238  0.010193  0.996221
1305031103.675523 -0.027217  0.045717  0.326928 -0.065694 -0.055402  0.010465  0.996246
1305031103.711610 -0.026291  0.042755  0.315947 -0.062824 -0.056320  0.009758  0.996386
1305031103.743326 -0.024371  0.037842  0.304871 -0.060425 -0.056403  0.009408  0.996533
1305031103.775342 -0.023905  0.035108  0.288733 -0.056918 -0.055474  0.005889  0.996819
1305031103.811242 -0.022806  0.033052  0.274430 -0.056744 -0.054453  0.001992  0.996901
1305031103.843251 -0.025440  0.032232  0.257555 -0.059257 -0.052896 -0.000369  0.996840
1305031103.875361 -0.024404  0.020155  0.247144 -0.068232 -0.056399 -0.003083  0.996069
1305031103.911221 -0.021982  0.015216  0.235704 -0.066849 -0.061230 -0.004044  0.995874
1305031103.943211 -0.020313  0.011960  0.220713 -0.064839 -0.064109 -0.004682  0.995823
1305031103.975373 -0.018330  0.006728  0.207735 -0.063183 -0.066145 -0.005763  0.995791
1305031104.011232 -0.014237  0.003582  0.198198 -0.058277 -0.067434 -0.006706  0.995998
1305031104.043249 -0.010518  0.000880  0.183352 -0.050725 -0.064856 -0.008677  0.996567
1305031104.075425 -0.007341  0.002572  0.168782 -0.045144 -0.060854 -0.011888  0.997054
1305031104.111235 -0.004955 -0.002338  0.158018 -0.042287 -0.055255 -0.013556  0.997484
1305031104.143230 -0.005282 -0.007073  0.140168 -0.037791 -0.048785 -0.014132  0.997994
1305031104.175424 -0.004944 -0.009516  0.124486 -0.033474 -0.045241 -0.014895  0.998304
1305031104.211283 -0.002316 -0.015002  0.111987 -0.030135 -0.043401 -0.014617  0.998496
1305031104.243196 -0.001521 -0.016552  0.099490 -0.025312 -0.041125 -0.014073  0.998734
1305031104.275546  0.000833 -0.017831  0.086992 -0.020622 -0.039018 -0.014656  0.998918
1305031104.311219  0.003499 -0.019638  0.075725 -0.016959 -0.036363 -0.014646  0.999087
1305031104.343342  0.004838 -0.017907  0.066883 -0.012799 -0.032591 -0.014779  0.999278
1305031104.375837  0.005847 -0.018534  0.056467 -0.010958 -0.028001 -0.014022  0.999449
1305031104.411509  0.005140 -0.020745  0.045434 -0.010104 -0.023924 -0.012924  0.999579
1305031104.443288  0.001669 -0.020796  0.032760 -0.009555 -0.021422 -0.012178  0.999651
1305031104.475456  0.000633 -0.022615  0.023638 -0.010253 -0.022868 -0.010981  0.999626
1305031104.511329  0.000006 -0.028255  0.012533 -0.010615 -0.025177 -0.009670  0.999580
1305031104.543368  0.003137 -0.029786  0.004050 -0.007374 -0.028060 -0.008522  0.999543
1305031104.575343  0.010655 -0.032193 -0.002133 -0.003020 -0.029852 -0.007323  0.999523
1305031104.611336  0.019849 -0.042918 -0.007989  0.003920 -0.027689 -0.005420  0.999594
1305031104.643243  0.021298 -0.038872 -0.018415  0.017619 -0.020083 -0.005478  0.999628
1305031104.675525  0.024216 -0.044878 -0.030369  0.027497 -0.012300 -0.004050  0.999538
1305031104.711277  0.023400 -0.047059 -0.043287  0.041055 -0.004093 -0.002073  0.999146
1305031104.743280  0.026982 -0.046254 -0.054350  0.054285  0.002491 -0.000092  0.998522
1305031104.775327  0.026896 -0.045771 -0.064593 0.066344 0.009983 0.001620 0.997746
1305031104.811465  0.029198 -0.042344 -0.072550 0.077527 0.016424 0.004190 0.996846
1305031104.843258  0.027961 -0.037611 -0.078950 0.086601 0.023530 0.006738 0.995942
1305031104.875350  0.023848 -0.030279 -0.083699 0.093300 0.027480 0.009043 0.995218
1305031104.911534  0.026084 -0.026697 -0.084435 0.095867 0.027952 0.011378 0.994937
1305031104.943262  0.025646 -0.024864 -0.085076 0.096780 0.028868 0.012119 0.994813
1305031104.975202  0.024113 -0.017437 -0.081196 0.096914 0.028374 0.012692 0.994807
1305031105.011290  0.026410 -0.014746 -0.074425 0.092203 0.027208 0.013532 0.995276
1305031105.043373  0.025483 -0.011532 -0.064921 0.086769 0.026664 0.012382 0.995795
1305031105.075320  0.026272 -0.013109 -0.054993 0.079051 0.025432 0.010378 0.996492
1305031105.111299  0.022530 -0.016915 -0.042719 0.072054 0.025095 0.008627 0.997048
1305031105.143106  0.019671 -0.007169 -0.030422 0.067694 0.022388 0.006346 0.997435
1305031105.175159  0.016968 -0.004815 -0.016962 0.054480 0.019101 0.002299 0.998329
1305031105.211268  0.013505 -0.014291  0.001251 0.040053 0.015114 0.000271 0.999083
1305031105.243270  0.010378 -0.012968  0.016208  0.031461  0.009437 -0.001288  0.999460
1305031105.275288  0.006542 -0.007836  0.032385  0.021956  0.003029 -0.002699  0.999751
1305031105.311290  0.005848 -0.011247  0.049790  0.010507 -0.005383 -0.003184  0.999925
1305031105.343302  0.007721 -0.014971  0.069319  0.000910 -0.013497 -0.002578  0.999905
1305031105.375338  0.007793 -0.015875  0.086334 -0.003241 -0.019647 -0.001595  0.999800
1305031105.411286  0.006935 -0.007381  0.100266 -0.006938 -0.024749 -0.002260  0.999667
